,percent_change
2007-01-15,98.71897518014411
2007-01-16,82.25552050473186
2007-01-17,37.86331500392773
2007-01-18,78.34645669291339
2007-01-19,93.82911392405063
2007-01-22,98.25673534072901
2007-01-23,45.16889238020424
2007-01-24,55.99060297572436
2007-01-25,12.40126382306477
2007-01-26,48.151062155782846
2007-01-29,91.56816390858944
2007-01-30,39.31357254290172
2007-01-31,10.74766355140187
2007-02-01,56.03112840466926
2007-02-02,25.604996096799375
2007-02-05,71.76656151419559
2007-02-06,82.00934579439252
2007-02-07,72.16174183514774
2007-02-08,76.539360872954
2007-02-09,47.76820673453406
2007-02-12,92.3861852433281
2007-02-13,75.58320373250389
2007-02-14,85.90240123934935
2007-02-15,94.60708782742681
2007-02-16,60.076628352490424
2007-02-26,88.36671802773498
2007-02-27,4.012345679012346
2007-02-28,92.109375
2007-03-01,29.547198772064466
2007-03-02,77.39197530864197
2007-03-05,46.73913043478261
2007-03-06,51.950078003120126
2007-03-07,92.48466257668711
2007-03-08,87.29792147806005
2007-03-09,42.02004626060139
2007-03-12,76.50695517774344
2007-03-13,67.84615384615384
2007-03-14,37.547892720306514
2007-03-15,84.0891621829362
2007-03-16,25.308641975308642
2007-03-19,58.93271461716937
2007-03-20,83.56589147286822
2007-03-21,77.89716039907904
2007-03-22,50.61349693251533
2007-03-23,64.4015444015444
2007-03-26,86.07003891050584
2007-03-27,68.53415195702226
2007-03-28,25.26964560862866
2007-03-29,14.395688991531946
2007-03-30,71.6923076923077
2007-04-02,92.42540168324408
2007-04-03,72.01834862385321
2007-04-04,60.07604562737643
2007-04-05,77.32115677321157
2007-04-06,68.2907965970611
2007-04-09,76.0
2007-04-10,48.65694551036071
2007-04-11,57.404580152671755
2007-04-12,85.32818532818533
2007-04-13,39.11042944785276
2007-04-16,96.13601236476043
2007-04-17,73.54740061162079
2007-04-18,78.003120124805
2007-04-19,13.884555382215288
2007-04-20,99.13928012519561
2007-04-23,92.71882261812549
2007-04-24,50.660450660450664
2007-04-25,36.25592417061612
2007-04-26,67.92908944399679
2007-05-08,92.34972677595628
2007-05-09,41.43302180685358
2007-05-10,61.040000000000006
2007-05-11,38.911454102355805
2007-05-25,65.64762670957361
2007-05-28,83.18794607454402
2007-05-29,70.53291536050156
2007-05-30,5.168363351605325
2007-05-31,25.71872571872572
2007-06-20,19.022154316271962
2007-06-21,36.87834736036725
2007-06-22,11.289092295957284
2007-06-25,8.859784283513097
2007-06-27,84.91577335375192
2007-06-28,7.752545027407988
2007-06-29,13.095238095238097
2007-07-02,66.13026819923373
2007-07-03,71.51469480030144
2007-07-04,17.713853141559426
2007-07-05,6.150341685649203
2007-07-06,96.13343442001516
2007-07-09,96.27376425855513
2007-07-10,18.257575757575758
2007-07-11,74.69788519637463
2007-07-12,61.631419939577036
2007-07-13,35.87613293051359
2007-07-16,16.590563165905632
2007-07-17,88.0180859080633
2007-07-18,48.29674489023467
2007-07-19,60.43707611152976
2007-07-23,99.24642049736248
2007-07-24,38.49056603773585
2007-07-25,94.55370650529501
2007-07-26,80.8446455505279
2007-07-27,75.75987841945289
2007-07-30,84.51563691838292
2007-07-31,59.634424980959636
2007-08-01,10.917361637604246
2007-08-02,94.67275494672755
2007-08-03,64.78227654698243
2007-08-06,74.78991596638656
2007-08-07,38.84234577303884
2007-08-08,28.49503437738732
2007-08-09,61.850152905198776
