updateDate,code,code_name,industry,industryClassification
2021-11-15,sh.600387,ST海越,化工,申万一级行业
2021-11-15,sh.600388,龙净环保,机械设备,申万一级行业
2021-11-15,sh.600389,江山股份,化工,申万一级行业
2021-11-15,sh.600390,五矿资本,非银金融,申万一级行业
2021-11-15,sh.600391,航发科技,国防军工,申万一级行业
2021-11-15,sh.600392,盛和资源,有色金属,申万一级行业
2021-11-15,sh.600393,ST粤泰,房地产,申万一级行业
2021-11-15,sh.600395,盘江股份,采掘,申万一级行业
2021-11-15,sh.600396,金山股份,公用事业,申万一级行业
2021-11-15,sh.600397,安源煤业,采掘,申万一级行业
2021-11-15,sh.600398,海澜之家,纺织服装,申万一级行业
2021-11-15,sh.600399,抚顺特钢,钢铁,申万一级行业
2021-11-15,sh.600400,红豆股份,纺织服装,申万一级行业
2021-11-15,sh.600401,退市海润,,申万一级行业
2021-11-15,sh.600403,ST大有,采掘,申万一级行业
2021-11-15,sh.600405,动力源,电气设备,申万一级行业
2021-11-15,sh.600406,国电南瑞,电气设备,申万一级行业
2021-11-15,sh.600408,ST安泰,采掘,申万一级行业
2021-11-15,sh.600409,三友化工,化工,申万一级行业
2021-11-15,sh.600410,华胜天成,计算机,申万一级行业
2021-11-15,sh.600415,小商品城,商业贸易,申万一级行业
2021-11-15,sh.600416,湘电股份,电气设备,申万一级行业
2021-11-15,sh.600418,江淮汽车,汽车,申万一级行业
2021-11-15,sh.600419,天润乳业,食品饮料,申万一级行业
2021-11-15,sh.600420,国药现代,医药生物,申万一级行业
2021-11-15,sh.600421,华嵘控股,机械设备,申万一级行业
2021-11-15,sh.600422,昆药集团,医药生物,申万一级行业
2021-11-15,sh.600423,柳化股份,化工,申万一级行业
2021-11-15,sh.600425,青松建化,建筑材料,申万一级行业
2021-11-15,sh.600426,华鲁恒升,化工,申万一级行业
2021-11-15,sh.600428,中远海特,交通运输,申万一级行业
2021-11-15,sh.600429,三元股份,食品饮料,申万一级行业
2021-11-15,sh.600432,退市吉恩,,申万一级行业
2021-11-15,sh.600433,冠豪高新,轻工制造,申万一级行业
2021-11-15,sh.600435,北方导航,国防军工,申万一级行业
2021-11-15,sh.600436,片仔癀,医药生物,申万一级行业
